year,month,lst_day_mean,lst_night_mean,dtr_mean,lst_day_anom_mean,lst_night_anom_mean,dtr_anom_mean,fire_detections
2000,11,27.8168,12.938381,14.902021,0.86516297,-0.947307,1.8150835,50
2000,12,25.232864,9.434356,15.788616,1.9257566,-1.0507046,2.9769642,175
2001,1,23.968336,9.216766,14.724991,1.408813,-0.5014965,1.9114213,267
2001,2,28.933395,12.073893,16.848839,2.0327046,-0.4299265,2.46304,1269
2001,3,34.562363,16.089388,18.472473,1.2866762,-0.5618919,1.8488901,2747
2001,4,38.20349,19.407595,18.85551,0.8046549,-0.5783193,1.3938711,1196
2001,5,37.803623,21.852856,15.969396,0.12361357,-0.15610674,0.28043547,318
2001,6,35.382042,20.386114,13.522288,-0.39605227,-0.44882196,-0.49863705,20
2001,7,30.283865,19.197489,11.322111,-0.6214111,-0.887548,0.10288397,13
2001,8,29.576248,20.020788,9.857194,-0.17969339,-0.2002658,0.039396726,11
2001,9,31.360634,19.976446,11.289699,1.1621921,-0.3066042,1.4410579,10
2001,10,30.475891,17.75625,12.738034,0.703291,0.35576278,0.34874052,7
2001,11,27.73726,13.938061,13.803955,0.8029236,0.08735322,0.71631634,34
2001,12,24.010786,10.420885,13.589994,0.713656,-0.06447673,0.77814215,115
2002,1,22.997873,9.632866,13.341632,0.44262692,-0.087098174,0.52960354,151
2002,2,27.050367,12.485649,14.556253,0.15384775,-0.017702375,0.1714365,521
2002,3,34.370598,16.372257,17.998133,1.0971128,-0.27830857,1.3755007,1331
2002,4,38.029167,19.800646,18.247257,0.6248877,-0.21323472,0.84166056,877
2002,5,37.392643,22.215673,15.196465,-0.2883944,0.21480104,-0.5037408,728
2002,6,35.720497,21.954363,13.805993,-0.13512613,-0.2814638,0.16715884,48
2002,7,32.64819,20.6989,12.166574,0.6195861,-0.16499296,0.6967365,16
2002,8,30.322998,20.343416,10.427037,0.615543,-0.16183656,0.8042664,14
2002,9,31.231195,19.85525,11.384614,1.0790322,-0.4708871,1.5515281,8
2002,10,30.640493,17.207329,13.385908,0.96519744,0.11917737,0.8592255,69
2002,11,28.148512,13.5002775,14.647766,1.2134347,-0.3511998,1.5647086,173
2002,12,24.733534,10.84588,13.870214,1.4197366,0.36181083,1.0571575,354
2003,1,23.630447,9.821153,13.790083,1.0739989,0.09935102,0.97271234,1361
2003,2,27.11603,12.781278,14.276461,0.17079696,0.2766233,-0.10758996,1527
2003,3,32.52827,16.18036,16.339865,-0.7537151,-0.47048658,-0.28314212,10092
2003,4,38.212715,20.404638,17.833748,0.8109828,0.3864597,0.4292042,6365
2003,5,37.870842,21.146908,16.705822,0.17052752,-0.8553657,1.0248787,1971
2003,6,36.75034,22.639755,14.242643,0.83939713,0.41819972,0.39700833,663
2003,7,31.329748,20.434774,11.350989,-0.11998349,-0.13701296,0.28336373,30
2003,8,29.469442,20.321468,9.433597,-0.28296158,-0.13954909,-0.1407401,4
2003,9,29.698414,19.553333,10.275695,-0.48421392,-0.6001357,0.13733067,14
2003,10,29.94579,17.30546,12.654336,0.16032708,-0.11965723,0.27922043,13
2003,11,27.129877,13.780947,13.358738,0.19376348,-0.07535782,0.26871267,80
2003,12,23.338533,10.551698,12.763871,0.0080648335,0.05669059,-0.049449906,228
2004,1,22.306505,10.003984,12.279995,-0.25531054,0.277955,-0.5336401,623
2004,2,27.822392,12.472552,15.348093,0.9317597,-0.031364955,0.96326387,2963
2004,3,35.16878,17.620401,17.550968,1.8957275,0.9671693,0.92853516,19619
2004,4,37.52348,20.47674,17.073463,0.12977895,0.43782407,-0.3086782,3239
2004,5,37.09864,22.314074,14.855012,-0.6806439,0.2707768,-0.9593785,1375
2004,6,34.250896,21.074297,13.1640005,-1.6208798,-1.1660107,-0.4668739,103
2004,7,31.864246,19.191904,12.781432,0.0032291475,-0.74944854,0.6463353,15
2004,8,29.696442,19.853035,10.145017,-0.1433055,-0.61881274,0.5064829,8
2004,9,30.53509,20.154957,10.440732,0.41877615,-0.09942897,0.54358,16
2004,10,28.60551,15.95167,12.61972,-1.176944,-1.4303355,0.24298553,70
2004,11,27.177038,13.455619,13.721717,0.24136849,-0.3957533,0.63747984,189
2004,12,23.954027,10.4558,13.4927435,0.65208656,-0.028532254,0.6805257,448
2005,1,22.254417,9.663432,12.532524,-0.33338007,-0.05541121,-0.27831635,710
2005,2,27.109592,12.441063,14.575263,0.12563474,-0.06591844,0.18290804,3587
2005,3,33.784874,16.755579,17.03045,0.5108408,0.10302636,0.4076776,7444
2005,4,36.71507,18.537832,18.228703,-0.699681,-1.4982606,0.7991885,7538
2005,5,38.123882,21.244759,16.858128,0.37798026,-0.7654301,1.1405685,1365
2005,6,37.853844,22.70638,15.172109,2.078893,0.42791313,1.6685578,818
2005,7,30.88433,20.648727,10.885024,-0.7168413,-0.06661254,-0.7459556,7
2005,8,30.812916,20.518272,10.3633585,0.9280484,0.09222706,0.8576936,6
2005,9,29.972935,20.170141,9.820187,-0.17798172,-0.16582659,-0.011496973,12
2005,10,29.510603,16.87572,12.679094,-0.24372566,-0.24234657,0.09841978,27
2005,11,26.636864,12.587466,14.05283,-0.3021563,-1.2667794,0.96476626,165
2005,12,23.109072,9.521066,13.584792,-0.18803169,-0.96173006,0.7736712,591
2006,1,23.240883,9.634838,13.573698,0.63683367,-0.11817701,0.7553943,1342
2006,2,29.195677,13.951694,15.253429,2.2965643,1.4300039,0.86736006,4121
2006,3,32.9469,16.284338,16.68536,-0.32586935,-0.38418552,0.058529492,16378
2006,4,36.57161,19.485712,17.104548,-0.8229104,-0.5453483,-0.27760395,3808
2006,5,36.7275,22.113571,14.624854,-0.95042837,0.102396175,-1.0537559,978
2006,6,35.181217,21.913925,13.253386,-0.61925346,-0.3205937,-0.3135091,111
2006,7,30.61907,20.047623,11.477644,-0.54353285,-0.63728625,-0.037098825,35
2006,8,29.495197,20.109436,9.36771,-0.32659397,-0.50709194,0.16571073,18
2006,9,30.154402,20.49813,9.687415,-0.0006940478,0.16439576,-0.15774508,10
2006,10,30.218979,18.090189,12.102408,0.4624495,0.84577656,-0.35743842,57
2006,11,26.672344,14.023659,12.643729,-0.26179108,0.22809929,-0.47928667,69
2006,12,23.256777,10.846981,12.402696,-0.045024127,0.36434668,-0.40946683,314
2007,1,23.144644,9.8487835,13.290153,0.6046093,0.12803242,0.47686663,1235
2007,2,26.334269,12.618756,13.695702,-0.5774448,0.11325227,-0.69074214,1965
2007,3,33.30385,16.571064,16.73137,0.029088896,-0.079984784,0.10899486,16841
2007,4,37.74443,20.567558,17.183449,0.35016343,0.5490589,-0.19879693,5994
2007,5,37.982334,22.118816,15.879283,0.30585957,0.10291832,0.20219348,1331
2007,6,36.817837,22.700085,14.152636,1.0480791,0.47887427,0.51832104,602
2007,7,31.545588,20.443333,11.5477705,-0.2721517,-0.11526126,-0.10060759,23
2007,8,29.461487,20.478243,9.366012,-0.1993382,0.02775156,-0.16411768,13
2007,9,29.495407,19.600126,9.978158,-0.66366875,-0.42296255,-0.2087058,6
2007,10,30.027828,16.31319,13.670725,0.24284069,-0.97702914,1.2348324,122
2007,11,27.624073,13.817329,13.806038,0.688565,-0.035137497,0.72364575,541
2007,12,23.322535,10.277093,13.029628,0.008694538,-0.20749027,0.21614167,335
2008,1,22.150137,8.865843,13.17692,-0.49788302,-0.8612015,0.35509306,889
