date,year,month,lst_day_mean,lst_night_mean,dtr_mean
2000-11-08,2000,11,29.502108,14.361339,15.144542
2000-11-16,2000,11,28.1266,12.736374,15.386528
2000-11-24,2000,11,26.4034,11.434251,14.818676
2000-12-02,2000,12,25.972359,9.490337,16.426857
2000-12-10,2000,12,25.703302,9.664399,15.93362
2000-12-18,2000,12,25.281479,9.141086,16.01206
2000-12-26,2000,12,24.285473,9.121071,15.209657
2001-01-01,2001,1,22.548216,8.903512,13.391959
2001-01-09,2001,1,23.656467,9.207696,14.257531
2001-01-17,2001,1,24.832811,9.495408,15.0358715
2001-01-25,2001,1,25.817247,8.72055,16.88384
2001-02-02,2001,2,27.603271,10.230999,17.211079
2001-02-10,2001,2,28.74815,11.626885,16.891037
2001-02-18,2001,2,30.381844,13.552098,16.672607
2001-02-26,2001,2,30.242075,13.1944685,16.89687
2001-03-06,2001,3,32.439022,14.16829,18.249556
2001-03-14,2001,3,34.47144,16.201275,18.202951
2001-03-22,2001,3,35.3898,17.015516,18.389593
2001-03-30,2001,3,36.615158,17.079437,19.403147
2001-04-07,2001,4,38.50489,18.091362,20.365263
2001-04-15,2001,4,36.93096,18.452425,18.32656
2001-04-23,2001,4,40.061142,21.130451,19.06391
2001-05-01,2001,5,39.079315,22.040297,17.34314
2001-05-09,2001,5,38.72343,22.655928,16.114021
2001-05-17,2001,5,37.339375,20.762,16.40969
2001-05-25,2001,5,37.13431,21.582512,15.598401
2001-06-02,2001,6,35.016254,19.112165,13.74172
2001-06-10,2001,6,34.54714,20.433805,13.800525
2001-07-04,2001,7,30.206068,19.793438,11.455792
2001-07-12,2001,7,29.901932,14.287225,15.148861
2001-07-20,2001,7,27.622288,14.843722,14.354409
2001-07-28,2001,7,28.533428,17.551958,12.459043
2001-08-05,2001,8,28.760786,19.258759,10.491281
2001-08-13,2001,8,28.116867,17.714674,11.837662
2001-08-21,2001,8,29.268427,18.871294,10.431995
2001-08-29,2001,8,29.828344,19.010923,11.114849
2001-09-06,2001,9,31.222511,19.446798,11.756177
2001-09-14,2001,9,31.496498,19.7018,11.387112
2001-09-22,2001,9,32.076702,19.41563,12.622345
2001-09-30,2001,9,31.226513,17.89202,13.740618
2001-10-08,2001,10,29.917784,18.06871,11.936054
2001-10-16,2001,10,30.4718,17.249022,13.278575
2001-10-24,2001,10,30.979492,17.352793,13.669982
2001-11-01,2001,11,29.46731,15.738665,13.666172
2001-11-09,2001,11,28.074345,13.844948,14.27479
2001-11-17,2001,11,27.663515,13.994163,13.747805
2001-11-25,2001,11,26.184309,11.748178,14.399646
2001-12-03,2001,12,26.177141,11.373408,14.670276
2001-12-11,2001,12,24.866135,11.170798,13.413555
2001-12-19,2001,12,22.82008,9.455612,13.756915
2001-12-27,2001,12,22.836277,9.55387,13.085546
2002-01-01,2002,1,22.453033,9.05757,13.327455
2002-01-09,2002,1,24.037502,10.165561,13.834375
2002-01-17,2002,1,23.591503,10.33962,12.813659
2002-01-25,2002,1,22.795263,8.947717,13.7066555
2002-02-02,2002,2,24.447279,10.162727,13.888243
2002-02-10,2002,2,25.8263,12.215402,13.5017805
2002-02-18,2002,2,29.10452,13.964292,15.107065
2002-02-26,2002,2,29.653992,13.740476,16.080465
2002-03-06,2002,3,30.944454,14.8654,16.017328
2002-03-14,2002,3,34.064697,16.151787,18.018959
2002-03-22,2002,3,38.60235,15.148876,23.026913
2002-03-30,2002,3,35.76709,18.029184,17.78652
2002-04-07,2002,4,37.087555,18.690645,18.460087
2002-04-15,2002,4,39.82112,21.212824,18.894258
2002-04-23,2002,4,38.23174,19.622147,18.264095
2002-05-01,2002,5,38.202457,21.649706,16.408566
2002-05-09,2002,5,37.925564,23.062407,14.938607
2002-05-17,2002,5,37.970264,22.622953,15.527922
2002-05-25,2002,5,36.594204,21.507345,15.105278
2002-06-02,2002,6,37.06219,22.190428,14.648021
2002-06-10,2002,6,36.103054,21.299011,14.24475
2002-06-18,2002,6,33.47365,20.682714,13.329896
2002-06-26,2002,6,32.36555,20.20177,12.760716
2002-07-04,2002,7,32.402596,20.742851,11.642368
2002-07-12,2002,7,34.014805,21.00443,13.034272
2002-07-20,2002,7,29.706553,18.809877,12.425771
2002-07-28,2002,7,32.68123,18.188913,14.584397
2002-08-05,2002,8,29.80368,17.59148,13.326785
2002-08-13,2002,8,28.840158,16.726675,13.30302
2002-08-21,2002,8,30.156916,20.234333,10.778685
2002-08-29,2002,8,29.656075,19.10692,10.594282
2002-09-06,2002,9,29.874065,19.104036,10.918139
2002-09-14,2002,9,30.26666,19.656015,10.035797
2002-09-22,2002,9,31.928799,19.422094,12.664483
2002-09-30,2002,9,33.322815,19.538403,13.849015
2002-10-08,2002,10,31.69333,18.876562,12.814889
2002-10-16,2002,10,30.338278,17.31686,12.829922
2002-10-24,2002,10,29.900997,14.8700285,14.914003
2002-11-01,2002,11,29.298658,14.87122,14.435287
2002-11-09,2002,11,27.681866,13.8847065,13.72051
2002-11-17,2002,11,28.082632,12.149994,15.816685
2002-11-25,2002,11,27.609592,12.080978,15.470436
2002-12-03,2002,12,25.453787,11.220893,14.072159
